review,class,text_for_models,text_for_stats,detected_aspects,aspects_parsed,aspect_sentiments,sentiments_parsed
"This place is just about worth the $30. For your very first time, you enter a username that you'll use every time after. You can input any driver name you want, so don't put something boring like ... your name. You can name yourself anything. I've seen ""Beatbyagirl"" and ""The Stig."" Nice. Before you hit the track, they make you watch a safety instructional video. It's very brief, don't worry. And then ...Seven minutes of fury. The carts go pretty fast. I've heard they peak at 45 mph, but depending on the configuration of the track (they do change it up), you may or may not be able to hit 45. The speed of the carts is also governed by remote control just in case some one wipes out and the employees need to slow or stop the race. I really liked the printout they give you after your race. You're ranked against the other drivers in your race and against every other driver that's raced at any Pole Position location. After you've registered, every time you race, it keeps a tally of your score for every visit. It makes you want to keep trying to raise your overall score and improve your heat.Sign up for their email notifications -- they are not in excess and being that the price of a regular is a little high, it helps to stay up to date on the specials. There are some people that go to PP that are no joke. They look down on people just wanting to have fun.  They are on a mission. And I get that.
",1,"this place is just about worth the $30. for your very first time, you enter a username that you will use every time after. you can input any driver name you want, so do not put something boring like ... your name. you can name yourself anything. i have seen ""beatbyagirl"" and ""the stig."" nice. before you hit the track, they make you watch a safety instructional video. it is very brief, do not worry. and then ...seven minutes of fury. the carts go pretty fast. i have heard they peak at 45 mph, but depending on the configuration of the track (they do change it up), you may or may not be able to hit 45. the speed of the carts is also governed by remote control just in case some one wipes out and the employees need to slow or stop the race. i really liked the printout they give you after your race. you are ranked against the other drivers in your race and against every other driver that is raced at any pole position location. after you have registered, every time you race, it keeps a tally of your score for every visit. it makes you want to keep trying to raise your overall score and improve your heat.sign up for their email notifications -- they are not in excess and being that the price of a regular is a little high, it helps to stay up to date on the specials. there are some people that go to pp that are no joke. they look down on people just wanting to have fun. they are on a mission. and i get that.",place worth 30 first time enter username use every time input driver name want put something bore like name name anything see beatbyagirl stig nice hit track make watch safety instructional video brief worry seven minute fury cart go pretty fast hear peak 45 mph depend configuration track change may may able hit 45 speed cart also govern remote control case one wipe employee need slow stop race really like printout give race rank driver race every driver race pole position location register every time race keep tally score every visit make want keep try raise overall score improve heat sign email notification excess price regular little high help stay date special people go pp joke look people want fun mission get,"{'value for money': 0.962, 'content quality': 0.619}","{'value for money': 0.962, 'content quality': 0.619}","{'value for money': 'NEGATIVE', 'content quality': 'NEGATIVE'}","{'value for money': 'NEGATIVE', 'content quality': 'NEGATIVE'}"
"Absolutely the worst service I have even had in my entire life.  I recently moved here from out of state and was referred to Dr. O'Clair by a coworker.  On my way to the appointment, my GPS took me in a round about way and I knew I would be late so I called ahead. The staff told me that it was not a problem.  I finally got to the office at 4:15 and was asked to sit down. After waiting for another 10 minutes, I was called up to the desk and told that I was MORE than 15 minutes late and had to reschedule my appointment. My appointment was at 4:00, so apparently they cannot tell time.  I explained that I called ahead, got lost and that I was a student who also worked part time so it was very hard for me to reschedule and  the doctor actually refused to see me. The staff was incredibly rude and should have told me not to come in the first place. I left the office in tears out of frustration and embarrassment from the way I was treated. It is clear that Dr. O'Clair has no respect for her patients...as if we have never waited 15 minutes for a doctor before.
",0,"absolutely the worst service i have even had in my entire life. i recently moved here from out of state and was referred to dr. o'clair by a coworker. on my way to the appointment, my gps took me in a round about way and i knew i would be late so i called ahead. the staff told me that it was not a problem. i finally got to the office at 4:15 and was asked to sit down. after waiting for another 10 minutes, i was called up to the desk and told that i was more than 15 minutes late and had to reschedule my appointment. my appointment was at 4:00, so apparently they cannot tell time. i explained that i called ahead, got lost and that i was a student who also worked part time so it was very hard for me to reschedule and the doctor actually refused to see me. the staff was incredibly rude and should have told me not to come in the first place. i left the office in tears out of frustration and embarrassment from the way i was treated. it is clear that dr. o'clair has no respect for her patients...as if we have never waited 15 minutes for a doctor before.",absolutely bad service even entire life recently move state refer dr clair coworker way appointment gps take round way know would late call ahead staff tell problem finally get office 4 15 ask sit wait another 10 minute call desk tell 15 minute late reschedule appointment appointment 4 00 apparently tell time explain call ahead get lose student also work part time hard reschedule doctor actually refuse see staff incredibly rude tell come first place leave office tear frustration embarrassment way treat clear dr clair respect patient never wait 15 minute doctor,{},{},{},{}
"Considering the fact that San Diego cannot support a lesbian clubbar, I was VERY impressed with this unpretentious place! We showed up on a rainy Friday night, place was a hoppin! A little bit o' butch, a little bit o' femme, a few trannys sprinkled in as well as some music and a great and active dance floor. I despise country music- but it sure was fun watching these folks do a little two step and beyond (damn, they were good!). They did also play a little hip-hopTop 40 to mix things up. Didn't spot any attitude here, everyone was friendly, smiling, laughing and having a good time, ourselves included!
",1,"considering the fact that san diego cannot support a lesbian clubbar, i was very impressed with this unpretentious place! we showed up on a rainy friday night, place was a hoppin! a little bit of butch, a little bit of femme, a few trannys sprinkled in as well as some music and a great and active dance floor. i despise country music- but it sure was fun watching these folks do a little two step and beyond (damn, they were good!). they did also play a little hip-hoptop 40 to mix things up. did not spot any attitude here, everyone was friendly, smiling, laughing and having a good time, ourselves included!",consider fact san diego support lesbian clubbar impressed unpretentious place show rainy friday night place hoppin little bit butch little bit femme trannys sprinkle well music great active dance floor despise country music sure fun watch folk little two step beyond damn good also play little hip hoptop 40 mix thing spot attitude everyone friendly smile laughing good time include,{},{},{},{}
"Oh the joys of Scottsdale; see a great movie in an awesome theater - then stop next door for glass of champagne and fresh strawberries and chocolates on a lovely outdoor balcony.  We ordered glass of the champagne that James Bond always ordered in Bond movies - what a treat...
",1,oh the joys of scottsdale; see a great movie in an awesome theater - then stop next door for glass of champagne and fresh strawberries and chocolates on a lovely outdoor balcony. we ordered glass of the champagne that james bond always ordered in bond movies - what a treat...,oh joy scottsdale see great movie awesome theater stop next door glass champagne fresh strawberry chocolate lovely outdoor balcony order glass champagne jam bond always order bond movie treat,"{'content quality': 0.885, 'design and aesthetics': 0.589}","{'content quality': 0.885, 'design and aesthetics': 0.589}","{'content quality': 'POSITIVE', 'design and aesthetics': 'POSITIVE'}","{'content quality': 'POSITIVE', 'design and aesthetics': 'POSITIVE'}"
"I LOVE THIS PLACE.  It is less expensive than area hotels:  for less than the price of one normal hotel room at a hotel located in a less desirable area, you get your own apartment nestled comfortably in Shadyside.  You really become a resident of the area and don't feel much like a guest.The customer service was great over the phone.  We were given the university rate for the room due to my father's affiliation with Pitt, and that made a good deal even better.  There's fancy cable, enough room that a family of four won't trip all over each other, and one of my favorite hoods within a short walking distance.  I LOVE THIS PLACE.  I recommend it without reservation.  Truly.
",1,"i love this place. it is less expensive than area hotels: for less than the price of one normal hotel room at a hotel located in a less desirable area, you get your own apartment nestled comfortably in shadyside. you really become a resident of the area and do not feel much like a guest.the customer service was great over the phone. we were given the university rate for the room due to my father's affiliation with pitt, and that made a good deal even better. there is fancy cable, enough room that a family of four will not trip all over each other, and one of my favorite hoods within a short walking distance. i love this place. i recommend it without reservation. truly.",love place less expensive area hotel less price one normal hotel room hotel locate less desirable area get apartment nestle comfortably shadyside really become resident area feel much like guest customer service great phone give university rate room due father affiliation pitt make good deal even well fancy cable enough room family four trip one favorite hood within short walking distance love place recommend without reservation truly,"{'value for money': 0.995, 'customer experience': 0.865, 'content quality': 0.857, 'functionality': 0.739, 'design and aesthetics': 0.733, 'product quality': 0.607}","{'value for money': 0.995, 'customer experience': 0.865, 'content quality': 0.857, 'functionality': 0.739, 'design and aesthetics': 0.733, 'product quality': 0.607}","{'value for money': 'NEGATIVE', 'customer experience': 'POSITIVE', 'content quality': 'NEUTRAL', 'functionality': 'NEUTRAL', 'design and aesthetics': 'NEUTRAL', 'product quality': 'NEUTRAL'}","{'value for money': 'NEGATIVE', 'customer experience': 'POSITIVE', 'content quality': 'NEUTRAL', 'functionality': 'NEUTRAL', 'design and aesthetics': 'NEUTRAL', 'product quality': 'NEUTRAL'}"
"Ugh!  Another losing season.  WTF man, weren't we in first place at the All-Star Break  What happened  I wasn't expecting a World Series Champ or even a Pennant winner.  But was a winning season too much to ask for  This marks the 20th anniversary since the Pirates' last winning season.  That's right folks--it's been since 1992.  Let's take a look at the world of 1992.BASEBALL:  The Pirates' roster that year included Stan Belinda, Doug Drabek, Zane Smith, Denny Neagle, Jay Bell, Orlando Merced, Andy Van Slyke, and of course Barry Bonds.  All have since retired.  The only new ballparks were New Comiskey Park (now U.S. Cellular Field) and Camden Yards.  No stadiums had corporate names.  The Arizona Diamondbacks, the Colorado Rockies, the Miami Marlins, and the Tampa Bay (Devil) Rays didn't exist.  The Washington Nationals were the Montreal Expos.  The Milwaukee Brewers were in the AL.  Both the NL and the AL only had two divisions each.  The minor league Washington Wild Things didn't exist either and nor did their league.  KBL was the big cable sports channel.TV:  ""Saturday NIght Live's"" cast included Dana Carvey, Ellen Cleghorne, Chris Farley, Tim Meadows, Mike Myers, Kevin Nealon, Phil Hartman,  Chris Rock, Adam Sandler, Rob Schneider, and David Spade.  ""Seinfeld"" hadn't become a huge hit yet and no one knew Kramer's first name.  Monday nights on NBC included ""Murphy Brown"", ""Evening Shade"" and "" Northern Exposure"".MOVIES:  The top movies included ""Lethal Weapon 3"", ""Basic Instinct"", ""Hone Alone 2"", ""The Bodyguard"" and ""Aladdin"".  When you wanted to watch movies at home, you had to rent them from the video store and you watched them on VHS tapes or laserdiscs.  MUSIC:  Bruce Springsteen released ""Lucky Town"" and ""Human Touch""  on the same day.  R.E.M. had ""Automatic for the People"".  Gin Blossoms released their first album ""New Miserable Experience"", which stayed on the charts for almost two years.  Bare Naked Ladies ""Gordon"" featured the cult classic ""If I Had a Million Dollars.""  You either listened to albums on cassette or CD and you bought them at record stores like National Record Mart.  Doug Hopkins (Gin Blossoms), Kurt Cobain (Nirvana), Shannon Hoon (Bline Melon) and Jerry Garcia (Grateful Dead) were all alive.TECHNOLOGY:  Few people had internet access.  You also used pay phones because you didn't have a cell phone.  You watched movies on a VCR.  You met up with your friends without texting them.  You ordered merchandise by ""sending in"" or by calling an ""800"" number.  You had to buy tickets by waiting in line.  And OJ Simpson was still a football hero.So that's it, Pittsburgh Pirates.  I feel like telling you I'm done with you guys.  I'm no fair weather fan, but 20+ years of losing is enough.
",0,"ugh! another losing season. wtf man, were not we in first place at the all-star break what happened i was not expecting a world series champ or even a pennant winner. but was a winning season too much to ask for this marks the 20th anniversary since the pirates' last winning season. that is right folks--it is been since 1992. let us take a look at the world of 1992.baseball: the pirates' roster that year included stan belinda, doug drabek, zane smith, denny neagle, jay bell, orlando merced, andy van slyke, and of course barry bonds. all have since retired. the only new ballparks were new comiskey park (now you.s. cellular field) and camden yards. no stadiums had corporate names. the arizona diamondbacks, the colorado rockies, the miami marlins, and the tampa bay (devil) rays did not exist. the washington nationals were the montreal expos. the milwaukee brewers were in the al. both the nl and the al only had two divisions each. the minor league washington wild things did not exist either and nor did their league. kbl was the big cable sports channel.tv: ""saturday night live's"" cast included dana carvey, ellen cleghorne, chris farley, tim meadows, mike myers, kevin nealon, phil hartman, chris rock, adam sandler, rob schneider, and david spade. ""seinfeld"" had not become a huge hit yet and no one knew kramer's first name. monday nights on nbc included ""murphy brown"", ""evening shade"" and "" northern exposure"".movies: the top movies included ""lethal weapon 3"", ""basic instinct"", ""hone alone 2"", ""the bodyguard"" and ""aladdin"". when you wanted to watch movies at home, you had to rent them from the video store and you watched them on vhs tapes or laserdiscs. music: bruce springsteen released ""lucky town"" and ""human touch"" on the same day. r.e.m. had ""automatic for the people"". gin blossoms released their first album ""new miserable experience"", which stayed on the charts for almost two years. bare naked ladies ""gordon"" featured the cult classic ""if i had a million dollars."" you either listened to albums on cassette or cd and you bought them at record stores like national record mart. doug hopkins (gin blossoms), kurt cobain (nirvana), shannon hoon (bline melon) and jerry garcia (grateful dead) were all alive.technology: few people had internet access. you also used pay phones because you did not have a cell phone. you watched movies on a vcr. you met up with your friends without texting them. you ordered merchandise by ""sending in"" or by calling an ""800"" number. you had to buy tickets by waiting in line. and oj simpson was still a football hero.so that is it, pittsburgh pirates. i feel like telling you i am done with you guys. i am no fair weather fan, but 20+ years of losing is enough.",ugh another losing season wtf man first place star break happen expect world series champ even pennant winner winning season much ask mark 20th anniversary since pirate last winning season right folk since 1992 let us take look world 1992 baseball pirate roster year include stan belinda doug drabek zane smith denny neagle jay bell orlando merced andy van slyke course barry bond since retire new ballpark new comiskey park cellular field camden yard stadium corporate name arizona diamondbacks colorado rockies miami marlin tampa bay devil ray exist washington national montreal expos milwaukee brewer al nl al two division minor league washington wild thing exist either league kbl big cable sport channel tv saturday night live cast include dana carvey ellen cleghorne chris farley tim meadows mike myers kevin nealon phil hartman chris rock adam sandler rob schneider david spade seinfeld become huge hit yet one know kramer first name monday night nbc include murphy brown even shade northern exposure movie top movie include lethal weapon 3 basic instinct hone alone 2 bodyguard aladdin want watch movie home rent video store watch vhs tape laserdiscs music bruce springsteen release lucky town human touch day r e automatic people gin blossom release first album new miserable experience stay chart almost two year bare naked lady gordon feature cult classic million dollar either listen albums cassette cd buy record store like national record mart doug hopkins gin blossom kurt cobain nirvana shannon hoon bline melon jerry garcia grateful dead alive technology people internet access also use pay phone cell phone watch movie vcr meet friend without texting order merchandise send call 800 number buy ticket wait line oj simpson still football hero pittsburgh pirate feel like tell guy fair weather fan 20 year losing enough,{'content quality': 0.455},{'content quality': 0.455},{'content quality': 'POSITIVE'},{'content quality': 'POSITIVE'}
"Great Diner!  Their breakfast is the best in the area!  Lots of  choices and always good.  Love the unique mugs they use for coffee and all the writing on the wall.  Get there early otherwise you will not get a seat!  They have homemade hotsweet sausage and texas toast.
",1,great diner! their breakfast is the best in the area! lots of choices and always good. love the unique mugs they use for coffee and all the writing on the wall. get there early otherwise you will not get a seat! they have homemade hotsweet sausage and texas toast.,great diner breakfast best area lot choice always good love unique mug use coffee write wall get early otherwise get seat homemade hotsweet sausage texas toast,"{'value for money': 0.663, 'content quality': 0.659, 'design and aesthetics': 0.601}","{'value for money': 0.663, 'content quality': 0.659, 'design and aesthetics': 0.601}","{'value for money': 'POSITIVE', 'content quality': 'POSITIVE', 'design and aesthetics': 'POSITIVE'}","{'value for money': 'POSITIVE', 'content quality': 'POSITIVE', 'design and aesthetics': 'POSITIVE'}"
"This is a truly amazing oasis in a sea of cheese and debauchery.  Since we were sans little wee one on our naughty adult vacation to Sin City, we decided to pop over to the Springs Preserve and check it out.  It's a relatively new desert botanical garden and learning center.  Hubby is a science teacher so he was WAY excited to get his science groove on.We went a little later than expected and only had a couple hours to spend but we easily could have spent at least 4 hours wandering the hiking trails and checking out the cool exhibits.  Basically this attraction has three parts...origin experience which has tons of cool interactive activities, films, and a little zoo of desert life, Desert Lving Center which is all about conservation, and GardensTrails which is a bunch of interconnected trails.  It was really cold when we were there so we didn't spend as much time as we like on the trails.If you have some time and want to get away for a bit from the smoke and vice of the Strip, check out the Springs Preserve. It's really lovely.
",1,"this is a truly amazing oasis in a sea of cheese and debauchery. since we were sans little wee one on our naughty adult vacation to sin city, we decided to pop over to the springs preserve and check it out. it is a relatively new desert botanical garden and learning center. hubby is a science teacher so he was way excited to get his science groove on.we went a little later than expected and only had a couple hours to spend but we easily could have spent at least 4 hours wandering the hiking trails and checking out the cool exhibits. basically this attraction has three parts...origin experience which has tons of cool interactive activities, films, and a little zoo of desert life, desert lving center which is all about conservation, and gardenstrails which is a bunch of interconnected trails. it was really cold when we were there so we did not spend as much time as we like on the trails.if you have some time and want to get away for a bit from the smoke and vice of the strip, check out the springs preserve. it is really lovely.",truly amazing oasis sea cheese debauchery since sans little wee one naughty adult vacation sin city decide pop spring preserve check relatively new desert botanical garden learning center hubby science teacher way excite get science groove go little later expect couple hour spend easily could spend least 4 hour wander hiking trail check cool exhibit basically attraction three part origin experience ton cool interactive activity film little zoo desert life desert lving center conservation gardenstrails bunch interconnected trail really cold spend much time like trail time want get away bit smoke vice strip check spring preserve really lovely,{},{},{},{}
"I've been looking for a fun stylist in Pittsburgh that ""gets"" my curly hair -- and doesn't charge a fortune -- for years. After my first appointment today, I'm ending my search!Aaron P. did a fantastic job on my cut and balanced out my texture and volume. The rest of the staff was friendly and the space with bright and upbeat. To second an earlier comment, they didn't offer me a tour or brochure of their services as a first-time guest -- but I didn't mind asking for them.I'll their other services and will report back. But for now, I highly recommend La Pomponnee!
",1,"i have been looking for a fun stylist in pittsburgh that ""gets"" my curly hair -- and does not charge a fortune -- for years. after my first appointment today, i am ending my search!aaron p. did a fantastic job on my cut and balanced out my texture and volume. the rest of the staff was friendly and the space with bright and upbeat. to second an earlier comment, they did not offer me a tour or brochure of their services as a first-time guest -- but i did not mind asking for them.i will their other services and will report back. but for now, i highly recommend la pomponnee!",look fun stylist pittsburgh get curly hair charge fortune year first appointment today end search aaron p fantastic job cut balance texture volume rest staff friendly space bright upbeat second early comment offer tour brochure service first time guest mind ask service report back highly recommend la pomponnee,"{'value for money': 0.91, 'content quality': 0.541}","{'value for money': 0.91, 'content quality': 0.541}","{'value for money': 'POSITIVE', 'content quality': 'POSITIVE'}","{'value for money': 'POSITIVE', 'content quality': 'POSITIVE'}"
"I now understand where the name comes from. Yesterday I went into Dick's to buy my daughter some shirts. As we were checking out I noticed a bin that was full of bags that had sports watches and body bands to monitor vital signs. I started going through them to find a watch that would meet my workout needs. Most of the bags that contained these watches were missing something. Not a problem because the outside clearly noted what was wrong with the package. It said things like "" missing manual or dead battery"" I found a watch that was missing a manual. I went online and looked up the watch and it had what i was looking for. I purchased the watch as is and took it home. After trying to sync the watch to the body strap monitor for an hour, I went online and found that the watch that i have takes an analog strap and the one that was in this bag was digital. I went back to the store today to swap out the wrong band for the correct on. I was told that i had to speak to Nicole the store manager. I was directed to Nicole who was assisting another customer. After standing patiently waiting for Nicole while the customer and Nicole discussed trading in his older wife for two younger ones, I got annoyed. I went back to the counter to find a different manager. I was told that Nicole is it. I waited some more. After waiting for Nicole for 15 minutes and listening to conversation that had nothing to do with products or services she asked how she could help me. I explained the situation and showed her the online picture of what i was supposed to receive with my purchase and she told me that they take everything out of the original package and put them into the bags that they sell these in.   i pointed out that as people look through the bag,   watches are being mixed up. I showed her Timex watches with Polar band and bags with two watches and no bands. Some watches had no bags at all and were sitting in the bottom of the bin with other loose manuals and straps. After going through each bag, I could not find the correct band. Someone is walking around with a digital watch with an analog band. I asked if i could purchase a more expensive watch and just pay the difference. Nicole said no. I get ""as is"" but I purchased it because the issue that was advertised on the packaging was it was missing the manual. It did not say that the accessories in the packaging do not match and the watch can not be used for anything except time and date.Now I have to pay for a new band as well as pay for shipping which is going to be more expensive than buying the watch at the original retail price. Thank you for horrible customer service and a useless watch.Pissed of Morrison Family YMCA Soccer Dad
",0,"i now understand where the name comes from. yesterday i went into dick's to buy my daughter some shirts. as we were checking out i noticed a bin that was full of bags that had sports watches and body bands to monitor vital signs. i started going through them to find a watch that would meet my workout needs. most of the bags that contained these watches were missing something. not a problem because the outside clearly noted what was wrong with the package. it said things like "" missing manual or dead battery"" i found a watch that was missing a manual. i went online and looked up the watch and it had what i was looking for. i purchased the watch as is and took it home. after trying to sync the watch to the body strap monitor for an hour, i went online and found that the watch that i have takes an analog strap and the one that was in this bag was digital. i went back to the store today to swap out the wrong band for the correct on. i was told that i had to speak to nicole the store manager. i was directed to nicole who was assisting another customer. after standing patiently waiting for nicole while the customer and nicole discussed trading in his older wife for two younger ones, i got annoyed. i went back to the counter to find a different manager. i was told that nicole is it. i waited some more. after waiting for nicole for 15 minutes and listening to conversation that had nothing to do with products or services she asked how she could help me. i explained the situation and showed her the online picture of what i was supposed to receive with my purchase and she told me that they take everything out of the original package and put them into the bags that they sell these in. i pointed out that as people look through the bag, watches are being mixed up. i showed her timex watches with polar band and bags with two watches and no bands. some watches had no bags at all and were sitting in the bottom of the bin with other loose manuals and straps. after going through each bag, i could not find the correct band. someone is walking around with a digital watch with an analog band. i asked if i could purchase a more expensive watch and just pay the difference. nicole said no. i get ""as is"" but i purchased it because the issue that was advertised on the packaging was it was missing the manual. it did not say that the accessories in the packaging do not match and the watch can not be used for anything except time and date.now i have to pay for a new band as well as pay for shipping which is going to be more expensive than buying the watch at the original retail price. thank you for horrible customer service and a useless watch.pissed of morrison family ymca soccer dad",understand name come yesterday go dick buy daughter shirt check notice bin full bag sport watch body band monitor vital sign start go find watch would meet workout need bag contain watch miss something problem outside clearly note wrong package say thing like miss manual dead battery find watch miss manual go online look watch look purchase watch take home try sync watch body strap monitor hour go online find watch take analog strap one bag digital go back store today swap wrong band correct tell speak nicole store manager direct nicole assist another customer stand patiently wait nicole customer nicole discussed trading old wife two young one get annoy go back counter find different manager tell nicole wait wait nicole 15 minute listen conversation nothing product service ask could help explain situation show online picture suppose receive purchase tell take everything original package put bag sell point people look bag watch mixed show timex watch polar band bag two watch band watch bag sit bottom bin loose manual strap go bag could find correct band someone walk around digital watch analog band ask could purchase expensive watch pay difference nicole say get purchase issue advertise packaging miss manual say accessory packaging match watch use anything except time date pay new band well pay ship go expensive buy watch original retail price thank horrible customer service useless watch piss morrison family ymca soccer dad,{'customer experience': 0.495},{'customer experience': 0.495},{'customer experience': 'NEGATIVE'},{'customer experience': 'NEGATIVE'}
"I have not purchased coffee anywhere else by Colombia St. in years.  It is simply the best. I love to go in and talk to the staff. They are know their coffee and are happy to tell you about it. They also make great recommendations. I've tried many different varieties. My favorite is the Dominican Gold (single bean) and I also like the Black Velvet ( a blend ). You can't go wrong here. I used to grind my own coffee but I found that when you ask them to grind it for a French press, the grind is more even and consistent than my poor grinder.  Also, they give you a punch card and after you buy 10 pounds of coffee, you get one free, so don't forget to ask for one! I don't drink tea, but they have a bunch of it! Probably worth checking out if you're a tea fan.
",1,"i have not purchased coffee anywhere else by colombia st. in years. it is simply the best. i love to go in and talk to the staff. they are know their coffee and are happy to tell you about it. they also make great recommendations. i have tried many different varieties. my favorite is the dominican gold (single bean) and i also like the black velvet ( a blend ). you cannot go wrong here. i used to grind my own coffee but i found that when you ask them to grind it for a french press, the grind is more even and consistent than my poor grinder. also, they give you a punch card and after you buy 10 pounds of coffee, you get one free, so do not forget to ask for one! i do not drink tea, but they have a bunch of it! probably worth checking out if you are a tea fan.",purchase coffee anywhere else colombia st year simply best love go talk staff know coffee happy tell also make great recommendation try many different variety favorite dominican gold single bean also like black velvet blend go wrong use grind coffee find ask grind french press grind even consistent poor grinder also give punch card buy 10 pound coffee get one free forget ask one drink tea bunch probably worth check tea fan,{},{},{},{}
"I love Dr. Luster and his staff.  They are friendly and professional.  Dr. Luster takes the time to address your back issues.  He takes his time to give you excellent care.  Thank you!
",1,i love dr. luster and his staff. they are friendly and professional. dr. luster takes the time to address your back issues. he takes his time to give you excellent care. thank you!,love dr luster staff friendly professional dr luster take time address back issue take time give excellent care thank,{},{},{},{}
"My guess is that ""Ruth K."" was put up to writing a nice review by the staff or owner.  Regent Square deserves a better coffee shop, run by someone with good business sense.  What kind of a ""business"" only prepares food (chickentuna salad, hummus) once a week  Does chicken salad hold a week in your fridge  Also, whenever they lose an employee, they just shuffle their schedule and close at 6 pm for a few months.  They should be open till 10 pm as it is, with all the foot traffic in the neighborhood, especially in the summer. My guess is they see this place as nothing more than a loss leader for the bar they own next door.   Otherwise you would think that since opening in 1995 they could at least take the time to slap a coat of fresh paint on the place!BTW, Katerbean did go smoke free before the Allegheny County ordinance went into effect, but the place to this day reeks of stale smoke.Added note: looks like my previous review was somehow deleted.  I'll just say I received an order of hummus that was watery and had rotting celery in it.  Tried to get another and 3 or 4 of the orders in the case were all in the same condition. I asked for a refund, and afterwards watched the kid working there put the other containers back in the cooler to sell to other customers. That was the last straw.  I won't spend another dollar there.
",0,"my guess is that ""ruth k."" was put up to writing a nice review by the staff or owner. regent square deserves a better coffee shop, run by someone with good business sense. what kind of a ""business"" only prepares food (chickentuna salad, hummus) once a week does chicken salad hold a week in your fridge also, whenever they lose an employee, they just shuffle their schedule and close at 6 pm for a few months. they should be open till 10 pm as it is, with all the foot traffic in the neighborhood, especially in the summer. my guess is they see this place as nothing more than a loss leader for the bar they own next door. otherwise you would think that since opening in 1995 they could at least take the time to slap a coat of fresh paint on the place!by the way, katerbean did go smoke free before the allegheny county ordinance went into effect, but the place to this day reeks of stale smoke.added note: looks like my previous review was somehow deleted. i will just say i received an order of hummus that was watery and had rotting celery in it. tried to get another and 3 or 4 of the orders in the case were all in the same condition. i asked for a refund, and afterwards watched the kid working there put the other containers back in the cooler to sell to other customers. that was the last straw. i will not spend another dollar there.",guess ruth k put write nice review staff owner regent square deserve good coffee shop run someone good business sense kind business prepare food chickentuna salad hummus week chicken salad hold week fridge also whenever lose employee shuffle schedule close 6 pm month open till 10 pm foot traffic neighborhood especially summer guess see place nothing loss leader bar next door otherwise would think since opening 1995 could least take time slap coat fresh paint place way katerbean go smoke free allegheny county ordinance go effect place day reek stale smoke add note look like previous review somehow delete say receive order hummus watery rot celery try get another 3 4 order case condition ask refund afterwards watch kid work put container back cooler sell customer last straw spend another dollar,"{'content quality': 0.654, 'product quality': 0.522, 'value for money': 0.503}","{'content quality': 0.654, 'product quality': 0.522, 'value for money': 0.503}","{'content quality': 'POSITIVE', 'product quality': 'NEGATIVE', 'value for money': 'NEGATIVE'}","{'content quality': 'POSITIVE', 'product quality': 'NEGATIVE', 'value for money': 'NEGATIVE'}"
"I  have been doing business with Larry and his staff for many years.  When I have questions his staff has always made sure I was comfortable with my decisions on new firearms and supplies.Thanks Larry and the Hyatt Team
",1,i have been doing business with larry and his staff for many years. when i have questions his staff has always made sure i was comfortable with my decisions on new firearms and supplies.thanks larry and the hyatt team,business larry staff many year question staff always make sure comfortable decision new firearm supply thanks larry hyatt team,{'product quality': 0.531},{'product quality': 0.531},{'product quality': 'POSITIVE'},{'product quality': 'POSITIVE'}
"This place is a joke.Id rather be at Tao or Pure.The maloofs really know what class is. Britneys classy!hahano thanks.thats all.
",0,this place is a joke.id rather be at tao or pure.the maloofs really know what class is. britneys classy!hahano thanks.that is all.,place joke id rather tao pure maloofs really know class britneys classy hahano thanks,{},{},{},{}
"Ahhh, my favorite place for tailoring! Us short people rely on places like Artful Tailoring. It's been a while since I have been in, but I have given them everything from my Lucky Brand sweats, to Ann Taylor slacks to an old pair of jeans for mending! I've never had a bad experience here and their prices are fair. Service is fantastic and you can count on your clothes being ready when promised! The store is clean and has an upscale feel. Aladdin is knowledgeable and friendly. They are great at difficult jobs or specialty items too! Won't ever go anywhere else.
",1,"ahhh, my favorite place for tailoring! us short people rely on places like artful tailoring. it is been a while since i have been in, but i have given them everything from my lucky brand sweats, to ann taylor slacks to an old pair of jeans for mending! i have never had a bad experience here and their prices are fair. service is fantastic and you can count on your clothes being ready when promised! the store is clean and has an upscale feel. aladdin is knowledgeable and friendly. they are great at difficult jobs or specialty items too! will not ever go anywhere else.",ahhh favorite place tailor us short people rely place like artful tailor since give everything lucky brand sweat ann taylor slack old pair jean mend never bad experience price fair service fantastic count clothes ready promise store clean upscale feel aladdin knowledgeable friendly great difficult job specialty item ever go anywhere else,"{'value for money': 0.984, 'design and aesthetics': 0.9, 'product quality': 0.863, 'content quality': 0.806, 'customer experience': 0.686}","{'value for money': 0.984, 'design and aesthetics': 0.9, 'product quality': 0.863, 'content quality': 0.806, 'customer experience': 0.686}","{'value for money': 'POSITIVE', 'design and aesthetics': 'POSITIVE', 'product quality': 'POSITIVE', 'content quality': 'POSITIVE', 'customer experience': 'POSITIVE'}","{'value for money': 'POSITIVE', 'design and aesthetics': 'POSITIVE', 'product quality': 'POSITIVE', 'content quality': 'POSITIVE', 'customer experience': 'POSITIVE'}"
